ITC Bot experimental#9136,"'<@438644640325959680>
<@&826841280658931732>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。",2021-04-20 05:35:18.729000,
kyoichi#8214,!send2 <@!438644640325959680> <@&826841280658931732>,2021-04-20 05:35:18.546000,
ITC Bot experimental#9136,キャンセルされました。終了します。,2021-04-20 05:35:12.182000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaa

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 05:35:09.013000,
kyoichi#8214,aaa,2021-04-20 05:35:07.886000,
ITC Bot experimental#9136,'<@&826841280658931732>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:35:05.707000,
kyoichi#8214,!send2 <@&826841280658931732>,2021-04-20 05:35:05.403000,
ITC Bot experimental#9136,キャンセルされました。終了します。,2021-04-20 05:34:59.948000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aa

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 05:34:57.494000,
kyoichi#8214,aa,2021-04-20 05:34:56.397000,
ITC Bot experimental#9136,'<@438644640325959680>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:34:55.089000,
kyoichi#8214,!send2 <@!438644640325959680>,2021-04-20 05:34:54.803000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを終了しました。,2021-04-20 05:34:52.117000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを開始します。,2021-04-20 05:34:51.678000,
kyoichi#8214,!reload cogs.send2,2021-04-20 05:34:51.200000,
